q,Zeta,Intercept,MomentR2,Table,Population
2.0,0.11629934324545196,-0.5990038592793315,0.8009929515727132,crypto_realized_variance,TROY
3.0,0.1369905397061002,-0.04805968372727503,0.7336440709053798,crypto_realized_variance,TROY
4.0,0.14416590686880973,0.8112027687937887,0.6295805362765767,crypto_realized_variance,TROY
1.0,0.0894914746945135,-1.185158598987472,0.9139678288375356,crypto_realized_variance,RSR
1.5,0.1253908147377788,-1.5138655039092344,0.9141340701233845,crypto_realized_variance,RSR
2.0,0.1534057063070752,-1.6907233712648366,0.9087477557694624,crypto_realized_variance,RSR
3.0,0.18101381886009954,-1.5553766567232359,0.8514238888970868,crypto_realized_variance,RSR
4.0,0.18459619216038037,-0.8068785042339967,0.6256548868355969,crypto_realized_variance,RSR
1.0,0.056740327758143395,-0.7758578573701758,0.7653845611542317,crypto_realized_variance,VTHO
1.5,0.07284910184900684,-0.8743755298885849,0.713540340631404,crypto_realized_variance,VTHO
2.0,0.07876298462072963,-0.8138943966547043,0.6166680931388384,crypto_realized_variance,VTHO
3.0,0.05945550572125042,-0.261916845903155,0.25233071541598795,crypto_realized_variance,VTHO
4.0,0.013042335362305188,0.7350821033092878,0.006607119570583131,crypto_realized_variance,VTHO
