Lag,q,Moment,Observations,Table,Population
65,4.0,1.4017568166875483,5230200,equity_parkinson_variance,global
66,1.0,0.5451624338967151,5044706,equity_parkinson_variance,global
66,1.5,0.5037426966668139,5044706,equity_parkinson_variance,global
66,2.0,0.5177406876131121,5044706,equity_parkinson_variance,global
66,3.0,0.7217892114733443,5044706,equity_parkinson_variance,global
66,4.0,1.4054349799338808,5044706,equity_parkinson_variance,global
67,1.0,0.545614328462061,5043155,equity_parkinson_variance,global
67,1.5,0.5042790953927171,5043155,equity_parkinson_variance,global
67,2.0,0.51835708760255,5043155,equity_parkinson_variance,global
67,3.0,0.7231206790802062,5043155,equity_parkinson_variance,global
67,4.0,1.4129156981162116,5043155,equity_parkinson_variance,global
68,1.0,0.5480296965194861,5235655,equity_parkinson_variance,global
68,1.5,0.5072085811006192,5235655,equity_parkinson_variance,global
68,2.0,0.5216436993902331,5235655,equity_parkinson_variance,global
68,3.0,0.7261434070070524,5235655,equity_parkinson_variance,global
68,4.0,1.4098542877163405,5235655,equity_parkinson_variance,global
69,1.0,0.5485225431334831,7024434,equity_parkinson_variance,global
69,1.5,0.5081050029371922,7024434,equity_parkinson_variance,global
69,2.0,0.5231131839421702,7024434,equity_parkinson_variance,global
69,3.0,0.7298354707707768,7024434,equity_parkinson_variance,global
69,4.0,1.4200819471796304,7024434,equity_parkinson_variance,global
70,1.0,0.5480471354156383,8644365,equity_parkinson_variance,global
70,1.5,0.5073130305528223,8644365,equity_parkinson_variance,global
70,2.0,0.5219256290212143,8644365,equity_parkinson_variance,global
70,3.0,0.7273361541564438,8644365,equity_parkinson_variance,global
70,4.0,1.4137767019061582,8644365,equity_parkinson_variance,global
71,1.0,0.54956377167066,7018860,equity_parkinson_variance,global
71,1.5,0.5092618898349401,7018860,equity_parkinson_variance,global
71,2.0,0.5243825464841473,7018860,equity_parkinson_variance,global
71,3.0,0.7316908181271892,7018860,equity_parkinson_variance,global
71,4.0,1.4239631670206707,7018860,equity_parkinson_variance,global
